,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 59, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc330', 'frc3747', 'frc2054'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 115, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc781', 'frc177', 'frc2016'], dtype=object)}}",f,2011arc,2011arc_f1m1,1,,,,1,,"[{'key': 'TQWn27F9oCY', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_f1m1.mp4', 'type': 'tba'}]",red
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 109, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3747', 'frc330', 'frc2054'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 114, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc177', 'frc2016', 'frc781'], dtype=object)}}",f,2011arc,2011arc_f1m2,2,,,,1,,"[{'key': 'tj59gNcr3vk', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_f1m2.mp4', 'type': 'tba'}]",red
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 87, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1718', 'frc1918', 'frc2512'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 121, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc177', 'frc2016', 'frc781'], dtype=object)}}",qf,2011arc,2011arc_qf1m1,1,,,,1,,"[{'key': 'hoZTU_XXg7I', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf1m1.mp4', 'type': 'tba'}]",red
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 73, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1718', 'frc1918', 'frc2512'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 102, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc177', 'frc2016', 'frc781'], dtype=object)}}",qf,2011arc,2011arc_qf1m2,2,,,,1,,"[{'key': '62tzdNBd_Lo', 'type': 'youtube'}
 {'key': 'ZDA0kQUSesY', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf1m2.mp4', 'type': 'tba'}]",red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 123, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc33', 'frc1477'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 65, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2169', 'frc3494', 'frc1014'], dtype=object)}}",qf,2011arc,2011arc_qf2m1,1,,,,2,,"[{'key': 'DaTNJMxudBc', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf2m1.mp4', 'type': 'tba'}]",blue
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 121, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1477', 'frc33', 'frc191'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 65, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3494', 'frc1014', 'frc2169'], dtype=object)}}",qf,2011arc,2011arc_qf2m2,2,,,,2,,"[{'key': 'SF4jySiiD2Y', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf2m2.mp4', 'type': 'tba'}]",blue
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 84, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc229', 'frc155', 'frc1023'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 69, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc303', 'frc118', 'frc3539'], dtype=object)}}",qf,2011arc,2011arc_qf3m1,1,,,,3,,"[{'key': '3I1qRIRwplE', 'type': 'youtube'}
 {'key': 'kVN2B4y52w8', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf3m1.mp4', 'type': 'tba'}]",blue
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 99, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc155', 'frc229', 'frc1023'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 109, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc303', 'frc3539', 'frc118'], dtype=object)}}",qf,2011arc,2011arc_qf3m2,2,,,,3,,"[{'key': 'cvKwZobZZ4Q', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf3m2.mp4', 'type': 'tba'}]",red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 118, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc155', 'frc229', 'frc1023'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 96, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3539', 'frc303', 'frc118'], dtype=object)}}",qf,2011arc,2011arc_qf3m3,3,,,,3,,"[{'key': 'PL0a9ttYmuc', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf3m3.mp4', 'type': 'tba'}]",blue
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 108, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc846', 'frc3098', 'frc74'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 111, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3747', 'frc330', 'frc2054'], dtype=object)}}",qf,2011arc,2011arc_qf4m1,1,,,,4,,"[{'key': 'Gm6QPZ8ub5Q', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf4m1.mp4', 'type': 'tba'}]",red
